id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
4545,1FJTGyHT,049b889c-8e97-4f3f-84f1-9e644626b450,38,,L,0,
11791,w81t6vBn,04ac57ea-df45-44a1-8fe7-e9994d9ada30,72,,M,0,
1931,KmCTvHLE,04bda0d8-7b6e-4a24-b1d6-0ce888e9f34c,4,,M,0,
952,,04c1d5b0-ece4-4a76-837a-d57460dd7d76,4,,M,0,
1135,,04c26b35-355a-4cfa-9dfa-c4c0919fa2d4,5,,s,0,
4523,RR8HFmPW,04c5d736-6b19-4592-a9d8-77412af832fb,38,,L,0,
3280,88XDUwMX,04d89c80-8720-4312-ad91-69c868b83b61,45,,S,0,
7004,avdAXXSD,04e290e5-a9ef-4d5e-9c47-1149bcca2134,33,,S,0,
4278,L7Jr8oxZ,04e78502-6b02-4cd6-a69e-635ae56ff60f,38,,L,0,
3728,V3SdY9Ca,04ec136a-01e1-437e-b0d4-8f9523009d84,38,,S,0,
3957,aFNcQmzw,04ec3cff-ca45-443d-adcd-22d1d0f83a17,38,,M,0,
10743,EzBwpG25,0513c02d-2c32-40c9-ab14-be0fcf799ba1,72,,M,0,
6950,5MHamtVR,051807aa-ed6e-44cf-8b2c-0e5a9ce1f9d9,66,,XL,0,
5721,Hpmbsf1j,051934b2-67a5-469e-a3e8-5b54a6c1fe1d,66,,M,0,
5911,9cq1KmCs,051a621b-07de-49d5-9a9f-10aa03c10f0f,66,,L,0,
2282,VkGyVDqd,051f7450-99c0-484c-b7a0-27ab7274466f,4,,M,0,
66,CBcbkK42,0521dc05-1d4d-4c65-aac7-e50a1e75c53c,3,,m,0,
3264,aJtr3qtS,052e474e-d3e7-42b1-ad2e-430febd304ff,23,,One size,0,
13791,83fCxJse,05408926-24c6-48b5-8f71-48bd46a29738,103,,40,0,
839,,05445540-54b9-4413-9a5e-f11e1e559223,4,,M,0,
2928,fEWyhWHr,0549d1bd-f883-474c-ab02-b2f4b52071c4,45,,L,0,
11015,4Cop3K7Q,0549f126-e1b7-4303-bd24-fdf79a9df12f,72,,M,0,
12259,S5kZNawz,056746d7-0a16-40dd-992b-fd3fdf38ffca,72,,M,0,
10090,5hm1RoQC,05818506-a877-49d4-85dc-22b990e687dc,72,,M,0,
12768,6Uv5nRsP,05863d90-df7c-403c-aaba-bb49f3dcc11f,72,,M,0,
4524,j4CRbmb3,058a4124-d33b-4129-94d0-7a7a20a48904,38,,L,0,
1139,,058c51ae-9468-4c22-b6e4-6cb32ebe6ac3,6,,S,0,
11803,DXKD9nC2,058f9c42-6ff0-4123-bd58-ea084fe31310,72,,M,0,
4931,sLRDqDFG,05924ab1-0ddc-4d0b-a785-b5fcd4e2a000,22,,L,0,
13182,fNuCTQ9w,0592a114-3fb5-4e63-8052-1c1e7ed8d4a6,85,,S-L,0,
1050,,05964779-548c-4237-828d-baa4dc2be8d7,4,,M,0,
189,,05a8c1c9-129f-4907-9f5c-2960f2b0ecbb,4,,M,0,
