serial_no;sku_serial_no;sku;label;qr_code
7625;1535;men-t-shirt-sku4;circularity.id/hRrKtocz;https://circularity.id/VJrjC3ry
7626;1536;men-t-shirt-sku4;circularity.id/pgtyCNuK;https://circularity.id/3WMGw5gN
7627;1537;men-t-shirt-sku4;circularity.id/2CKNS96q;https://circularity.id/bi1i5HoF
7628;1538;men-t-shirt-sku4;circularity.id/VfRyWTUe;https://circularity.id/3X7PV1qS
7629;1539;men-t-shirt-sku4;circularity.id/hn9kgRdm;https://circularity.id/C4rqpi9j
7630;1540;men-t-shirt-sku4;circularity.id/ubLTkmMV;https://circularity.id/R8JRo3E4
7631;1541;men-t-shirt-sku4;circularity.id/DndjZB94;https://circularity.id/YBh3hsPa
7632;1542;men-t-shirt-sku4;circularity.id/CS7JyrfU;https://circularity.id/KZ4pW5bb
7633;1543;men-t-shirt-sku4;circularity.id/e3Tj2HB6;https://circularity.id/ffjMs1Jw
7634;1544;men-t-shirt-sku4;circularity.id/Q7LjKTyM;https://circularity.id/b8feXmhJ
7635;1545;men-t-shirt-sku4;circularity.id/RHYpF8FN;https://circularity.id/Wp7UMqNP
7636;1546;men-t-shirt-sku4;circularity.id/JG2zHFg7;https://circularity.id/PBFeD1Rd
7637;1547;men-t-shirt-sku4;circularity.id/oNz4H3Kv;https://circularity.id/UJsKnrmc
7638;1548;men-t-shirt-sku4;circularity.id/3vhjU5SH;https://circularity.id/yRnm3X3a
7639;1549;men-t-shirt-sku4;circularity.id/dG5xtrRg;https://circularity.id/4Mecq9rt
7640;1550;men-t-shirt-sku4;circularity.id/GPLFBbhQ;https://circularity.id/PMizBNU2
7641;1551;men-t-shirt-sku4;circularity.id/azu5hqwz;https://circularity.id/CvWSWdMK
7642;1552;men-t-shirt-sku4;circularity.id/MKVAPc2V;https://circularity.id/Jm7xmRBz
7643;1553;men-t-shirt-sku4;circularity.id/96u2YasR;https://circularity.id/K6AF5AU2
7644;1554;men-t-shirt-sku4;circularity.id/d9Emkcge;https://circularity.id/4VpLb6bG
7645;1555;men-t-shirt-sku4;circularity.id/PS8Lk4po;https://circularity.id/d4M8ZWDc
7646;1556;men-t-shirt-sku4;circularity.id/5cE95zR3;https://circularity.id/jYGZL9kj
7647;1557;men-t-shirt-sku4;circularity.id/ixNbJHAm;https://circularity.id/igsUsrdj
7648;1558;men-t-shirt-sku4;circularity.id/dafyVhB1;https://circularity.id/BJ9caHpu
7649;1559;men-t-shirt-sku4;circularity.id/iBSuMxxe;https://circularity.id/PUu1rcaH
7650;1560;men-t-shirt-sku4;circularity.id/RKqbc731;https://circularity.id/87jbVpGt
7651;1561;men-t-shirt-sku4;circularity.id/xvEMZWoi;https://circularity.id/7utvwP6B
7652;1562;men-t-shirt-sku4;circularity.id/Cd8uBmZ7;https://circularity.id/CJ8F4qGk
7653;1563;men-t-shirt-sku4;circularity.id/7SCZtDbd;https://circularity.id/3qSwvWFa
7654;1564;men-t-shirt-sku4;circularity.id/HVHm1ZgY;https://circularity.id/nVDPVj6q
7655;1565;men-t-shirt-sku4;circularity.id/Pc93amca;https://circularity.id/PmA64y2V
7656;1566;men-t-shirt-sku4;circularity.id/TiPo6aKm;https://circularity.id/ZEFHzjFm
7657;1567;men-t-shirt-sku4;circularity.id/x5KbX2GP;https://circularity.id/yGgbPK1U
7658;1568;men-t-shirt-sku4;circularity.id/mC4esbnt;https://circularity.id/5qtfgSXt
7659;1569;men-t-shirt-sku4;circularity.id/uziWUhNc;https://circularity.id/yQaCyfB4
7660;1570;men-t-shirt-sku4;circularity.id/6TFh2pCC;https://circularity.id/HP1gxJPj
7661;1571;men-t-shirt-sku4;circularity.id/qVNxtbGj;https://circularity.id/vmMjSpkN
7662;1572;men-t-shirt-sku4;circularity.id/tRgtN7cJ;https://circularity.id/satBiMyF
7663;1573;men-t-shirt-sku4;circularity.id/kxR77aHo;https://circularity.id/uGaiBNrT
7664;1574;men-t-shirt-sku4;circularity.id/GPS3VGqf;https://circularity.id/Jp6xftJM
