serial_no;sku_serial_no;sku;label;qr_code
3319;694;women-top-sku2;circularity.id/YxkMhZAV;https://circularity.id/uRSCWDQ5
3320;695;women-top-sku2;circularity.id/68ZMNtVd;https://circularity.id/7RQ1TPuL
3321;696;women-top-sku2;circularity.id/X5zTEUdn;https://circularity.id/Ef7FWU5v
3322;697;women-top-sku2;circularity.id/RBCp5oJb;https://circularity.id/PpGrbjXA
3323;698;women-top-sku2;circularity.id/pd5GfP9o;https://circularity.id/CsvNpp4A
3324;699;women-top-sku2;circularity.id/CsUsEGr1;https://circularity.id/8nTpthPz
3325;700;women-top-sku2;circularity.id/hybyiiyV;https://circularity.id/hG7oyBTd
3326;701;women-top-sku2;circularity.id/bQZUfWS6;https://circularity.id/fMvZCr1b
3327;702;women-top-sku2;circularity.id/cguzhmna;https://circularity.id/huSwDBp1
3328;703;women-top-sku2;circularity.id/8Jw8k6Dc;https://circularity.id/bsnnmiiD
3329;704;women-top-sku2;circularity.id/GKut7CnG;https://circularity.id/R4ZouLzt
3330;705;women-top-sku2;circularity.id/xBWA2ntu;https://circularity.id/mXsycbnX
3331;706;women-top-sku2;circularity.id/mCx8f7ek;https://circularity.id/bL3dsm3p
3332;707;women-top-sku2;circularity.id/Z12CFDQP;https://circularity.id/rCZiLdLz
3333;708;women-top-sku2;circularity.id/pzHuUqxB;https://circularity.id/2yeHcbNq
3334;709;women-top-sku2;circularity.id/aLoPRujs;https://circularity.id/6q91TegV
3335;710;women-top-sku2;circularity.id/aBTdoyy9;https://circularity.id/2HxmPQfM
3336;711;women-top-sku2;circularity.id/wGUiCoGR;https://circularity.id/YcizKYst
3337;712;women-top-sku2;circularity.id/SeErVMcW;https://circularity.id/hqCHu2cM
3338;713;women-top-sku2;circularity.id/eFaXRQog;https://circularity.id/Zb5bxcvj
3339;714;women-top-sku2;circularity.id/dR77BLYZ;https://circularity.id/MmZW2PfG
3340;715;women-top-sku2;circularity.id/usnXx89j;https://circularity.id/jRtfK8Qs
3341;716;women-top-sku2;circularity.id/Kvd5UWcT;https://circularity.id/kTL8FHdK
3342;717;women-top-sku2;circularity.id/Ayfkjdfu;https://circularity.id/QU3kZyQP
3343;718;women-top-sku2;circularity.id/uPUShvqQ;https://circularity.id/t7KpWjMp
3344;719;women-top-sku2;circularity.id/ZrCXo3T3;https://circularity.id/GQ1oiRdN
